121,82,1
83,1,82
1,83,2
84,2,83
2,84,3
85,3,84
3,85,4
86,4,85
4,86,5
87,5,86
5,87,6
88,6,87
6,88,7
89,7,88
7,89,8
90,8,89
8,90,9
91,9,90
91,92,9
93,9,92
120,121,10
1,10,121
10,1,11
2,11,1
11,2,12
3,12,2
12,3,13
4,13,3
13,4,14
5,14,4
14,5,15
6,15,5
15,6,16
7,16,6
16,7,17
8,17,7
17,8,18
9,18,8
18,9,94
93,94,9
119,120,19
10,19,120
19,10,20
11,20,10
20,11,21
12,21,11
21,12,22
13,22,12
22,13,23
14,23,13
23,14,24
15,24,14
24,15,25
16,25,15
25,16,26
17,26,16
26,17,27
18,27,17
27,18,95
94,95,18
118,119,28
19,28,119
28,19,29
20,29,19
29,20,30
21,30,20
30,21,31
22,31,21
31,22,32
23,32,22
32,23,33
24,33,23
33,24,34
25,34,24
34,25,35
26,35,25
35,26,36
27,36,26
36,27,96
95,96,27
117,118,37
28,37,118
37,28,38
29,38,28
38,29,39
30,39,29
39,30,40
31,40,30
40,31,41
32,41,31
41,32,42
33,42,32
42,33,43
34,43,33
43,34,44
35,44,34
44,35,45
36,45,35
45,36,97
96,97,36
116,117,46
37,46,117
46,37,47
38,47,37
47,38,48
39,48,38
48,39,49
40,49,39
49,40,50
41,50,40
50,41,51
42,51,41
51,42,52
43,52,42
52,43,53
44,53,43
53,44,54
45,54,44
54,45,98
97,98,45
115,116,55
46,55,116
55,46,56
47,56,46
56,47,57
48,57,47
57,48,58
49,58,48
58,49,59
50,59,49
59,50,60
51,60,50
60,51,61
52,61,51
61,52,62
53,62,52
62,53,63
54,63,53
63,54,99
98,99,54
114,115,64
55,64,115
64,55,65
56,65,55
65,56,66
57,66,56
66,57,67
58,67,57
67,58,68
59,68,58
68,59,69
60,69,59
69,60,70
61,70,60
70,61,71
62,71,61
71,62,72
63,72,62
72,63,100
99,100,63
113,114,73
64,73,114
73,64,74
65,74,64
74,65,75
66,75,65
75,66,76
67,76,66
76,67,77
68,77,67
77,68,78
69,78,68
78,69,79
70,79,69
79,70,80
71,80,70
80,71,81
72,81,71
81,72,101
100,101,72
113,73,112
111,112,73
111,73,110
74,110,73
110,74,109
75,109,74
109,75,108
76,108,75
108,76,107
77,107,76
107,77,106
78,106,77
106,78,105
79,105,78
105,79,104
80,104,79
104,80,103
81,103,80
103,81,102
101,102,81
